Time_s,Time_min,Porosity_raw,Porosity_used,valid_poroelastic,Permeability_mD,k0_m2,Tortuosity,OutletHConc_raw,ElectrolyteConcentration_input_molL,FluidConductivity_input_S_m,cH_molL,pH,C_molL,zeta,omega0_rad_s,theta_deg,omega_t,Lambda_m,L_abs,sigma_abs,RE_real,RE_imag,RE_abs,TTM_real,TTM_imag,TTM_abs,matrix_cond,RE_abs_norm,TTM_abs_norm,L_abs_norm,sigma_abs_norm,Amax_waveform_spectral,Amax_waveform_spectral_RE,Amax_waveform_spectral_TE,Amax_waveform_spectral_norm,Amax_waveform_spectral_RE_norm,Amax_waveform_spectral_TE_norm
425.6,7.093333333333334,0.8145,0.8145,True,538914.5440244767,5.318673202066318e-10,1.1030076859659954,6.92314852092759e-06,,,0.00692314852092759,2.159696351455526,0.00792314852092759,-0.0013582990764116755,3141592.653589793,45.0,1388.38285950678,7.590849339790872e-05,1.051583661145422e-11,0.07395638002017649,2552038.9018987752,1616816.724231242,3021092.331683782,-2.387580367913939e-10,-5.373555188895055e-12,2.388184985043008e-10,1.316902939473937e+27,0.002041883037015178,0.0005719551570921294,0.008351812872349639,13.050746932722344,8814637150737.615,8814637150737.615,2475110100600.2603,0.0008490756152977166,0.0008591823338497729,0.00023841657865870288
450.6,7.510000000000001,0.82625,0.82625,True,652856.9611192526,6.443197464957845e-10,1.096440344197533,8.196493242956996e-06,,,0.008196493242956996,2.086371914808549,0.009196493242956995,-0.000706685395458451,3141592.653589793,45.0,1169.5667788667186,8.270513627749721e-05,5.1260210893210795e-12,0.08760204150946771,810197.8434385171,620097.1835995484,1020265.1923007645,8.664855691351867e-11,-2.9599373353348976e-12,8.669909828956927e-11,8.614317401263297e+26,0.0006895724991810725,0.00020763884159946493,0.004071151968174899,15.45873492209865,3660125600727.9585,3660125600727.9585,942419022244.3315,0.0003525639618920626,0.00035676060194418755,9.07791208527986e-05
475.6,7.926666666666667,0.8372,0.8372,True,806481.7639279857,7.959356438456287e-10,1.0896301122012355,9.637438176082179e-06,,,0.009637438176082178,2.0160383949199727,0.01063743817608218,-0.00012615504340674847,3141592.653589793,45.0,965.3219227120527,9.103510739221353e-05,8.478670284645307e-13,0.10331249052584442,98549.52788039028,81414.53450716163,127829.32321836658,4.627133609170924e-11,6.691637783782172e-12,4.6752695750526036e-11,1.4891419022230094e+26,8.639673934336189e-05,0.00011196974107929538,0.0006733869138531291,18.2310866009698,517885060709.3804,517885060709.3804,122543351045.91096,4.988561287954049e-05,5.047941140594566e-05,1.18040674177092e-05
500.6,8.343333333333334,0.84655,0.84655,True,964771.1345197174,9.521551118249435e-10,1.0794363771015587,1.1764020420052322e-05,,,0.011764020420052321,1.9294442303135277,0.01276402042005232,0.0005270560127112012,3141592.653589793,45.0,823.6597827105727,9.855327550449444e-05,3.3409005051302637e-12,0.12653446931658743,-288918.6973388718,-249623.0583567456,381818.9164189823,-4.864087194785348e-11,-7.693110823054246e-12,4.9245490940625964e-11,3.112860775129046e+26,0.0002580621454270203,0.00011793982745652982,0.00265338620929065,22.328963868520646,1698276529075.621,1698276529075.621,362221796870.84705,0.00016358758326766618,0.00016553479931404584,3.48912484760218e-05
525.6,8.76,0.8565,0.8565,True,1186300.1933764478,1.170787301637722e-09,1.0676092080742445,1.38108759954361e-05,,,0.0138108759954361,1.85977877414269,0.0148108759954361,0.0010021746004334703,3141592.653589793,45.0,685.2310799302533,0.00010805042190363525,5.928702782276717e-12,0.15019714096899853,-400247.98777998413,-356320.32224038074,535875.567425326,1.8452843237934436e-11,1.4995994947595375e-12,1.8513676625901883e-11,8.88657694218525e+26,0.00036218529953595133,4.4339081307513975e-05,0.004708652106616021,26.504608206486758,2584871827407.15,2584871827407.15,504791207491.7402,0.0002489894478682881,0.00025195321955916904,4.862433901343977e-05
550.6,9.176666666666668,0.86545,0.86545,True,1481411.0053643025,1.4620390380704553e-09,1.0544402869019316,1.6993438399907124e-05,,,0.016993438399907124,1.7697187384338733,0.017993438399907125,0.0015485100378491887,3141592.653589793,45.0,561.385282386795,0.00011937530168312359,8.485430736000737e-12,0.18668098016397883,-434902.23019482906,-396324.78706118977,588398.9179693769,3.487278709480971e-11,7.440710513175645e-13,3.488072421107875e-11,3.834639464480507e+26,0.0003976845583299805,8.353712221030279e-05,0.00673923837606696,32.94274582676949,3056739920375.2173,3056739920375.2173,533659219219.31995,0.0002944424466162508,0.0002979472545321934,5.140506888363816e-05
575.6,9.593333333333334,0.87365,0.87365,True,1877805.0987451875,1.8532496048104265e-09,1.0479415735195534,2.3710075103091425e-05,,,0.023710075103091425,1.6250670703656953,0.024710075103091426,0.0022629563155114256,3141592.653589793,45.0,449.8487263515424,0.00013335574989609968,1.127978839143782e-11,0.26039967354833676,-399557.1726593703,-371499.1167970261,545579.9923059131,2.6933044131415848e-11,-3.822088926609835e-13,2.693575597272931e-11,3.1457964546127954e+26,0.00036874428495319446,6.450942718116208e-05,0.008958553215098185,45.951549276961835,2985517876771.2876,2985517876771.2876,438766649084.625,0.0002875819372768837,0.0002910050831644186,4.2264480791755604e-05
600.6,10.01,0.8817,0.8817,True,2027757.7052536455,2.0012413260693555e-09,1.0433776255269276,2.8571823439928685e-05,,,0.028571823439928683,1.5440620422693774,0.029571823439928684,0.0025740476551883466,3141592.653589793,45.0,422.259917830524,0.0001376432961265782,1.2602821803575376e-11,0.3158809184282115,-357503.22869409726,-335713.32337987074,490420.2218724893,-2.4091816954606667e-11,-7.735323617325606e-12,2.5303179160710784e-11,2.3893687284895253e+26,0.00033146313389652147,6.059950926093779e-05,0.010009323390625956,55.74207291051588,2776230736345.464,2776230736345.464,368954350948.58105,0.00026742221833529506,0.000270605399016245,3.553976609487793e-05
625.6,10.426666666666668,0.88855,0.88855,True,2183334.6179169617,2.154783806118847e-09,1.038706483233003,2.994949459321588e-05,,,0.029949494593215883,1.523610502063634,0.030949494593215884,0.0026424049646975,3141592.653589793,45.0,396.99526401502516,0.00014195553492459513,1.2699446404944956e-11,0.33466365506051327,-332065.5902628945,-313291.20231666806,456529.2254452807,-2.1431853787497263e-11,-7.401079591241409e-12,2.2673780802604377e-11,2.266046904631619e+26,0.00030855703136317377,5.4302266960247856e-05,0.010086063893480964,59.05657724976652,2649424959097.8315,2649424959097.8315,341557636777.34424,0.0002552075699613879,0.00025824535721552966,3.2900759911834765e-05
650.6,10.843333333333334,0.8953,0.8953,True,2354301.0196126364,2.323514531469468e-09,1.0342816422658814,3.162235750417346e-05,,,0.03162235750417346,1.500005755754611,0.03262235750417346,0.0027161803753341677,3141592.653589793,45.0,372.5498348444887,0.00014653885908003797,1.2797019460181658e-11,0.3569530224626911,-307101.39307585795,-290993.1369126727,423070.0549074705,-1.8212193737745977e-11,-6.329539146860749e-12,1.9280743412867576e-11,2.2495762049413778e+26,0.00028594278947548034,4.617615761184899e-05,0.010163557670612566,62.98988081569192,2513141266078.624,2513141266078.624,313157334956.93524,0.0002420799552307412,0.0002449614818351222,3.016508250045241e-05
