Porosity_used,k0_m2,Permeability_mD,Tortuosity,OutletHConc,C_molL,pH,eta_Pa_s,K_f_Pa,omega_rad_s,theta_deg,Lambda_m,debye_d_m,L_abs,sigma_abs,RE_real,RE_imag,RE_abs,TTM_real,TTM_imag,TTM_abs,RE_energy_proxy,TTM_energy_proxy_abs,matrix_cond,scan,scan_value,RE_abs_norm_to_scan_start,TTM_abs_norm_to_scan_start,RE_energy_proxy_norm_to_scan_start,TTM_energy_proxy_abs_norm_to_scan_start,L_abs_norm_to_scan_start
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,5.7476944248353584e-06,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,1.2741610638617047e-07,3.0101059685420674e-09,1.148100465271195e-05,713771453.8788153,-67881252.71416701,716992017.2793574,3.895446882019758e-05,-1.0090307010011013e-05,4.0240091160682316e-05,5.1407755284232237e+17,1.6192649366200231e-09,7.009229879844963e+25,electrolyte_concentration_molL,5.7476944248353584e-06,0.9646344939695605,0.9268550173855536,0.9305197069559098,0.859060223252775,0.9660771354468377
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,6.846096838574658e-06,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,1.1674805287272754e-07,2.982705837669845e-09,1.310631033853861e-05,707494846.3630357,-62394794.843885496,710240852.14374,3.843889268789223e-05,-8.781089364478792e-06,3.942912630909107e-05,5.0444206805386605e+17,1.5546560014982574e-09,7.071134978066551e+25,electrolyte_concentration_molL,6.846096838574658e-06,0.9555515382220018,0.9081759632397942,0.9130787421984338,0.8247835802065282,0.9572832125017509
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,8.154407395185153e-06,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,1.0697319386187566e-07,2.9531353060126234e-09,1.5013907215629568e-05,700600261.1412953,-57289428.4657882,702938691.868066,3.782182267288511e-05,-7.430597381636391e-06,3.854483166064094e-05,4.941228045251878e+17,1.485704047747148e-09,7.139280235524899e+25,electrolyte_concentration_molL,8.154407395185153e-06,0.9457272786589207,0.8878078947756745,0.8944000855996078,0.7882028580260151,0.9477927112318287
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,9.712740198471169e-06,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,9.801674566243302e-08,2.92157806994745e-09,1.725668840001425e-05,693134783.80591,-52547892.32440659,695123808.7631606,3.7101688535692555e-05,-6.039556091954888e-06,3.759004562364097e-05,4.831971095094031e+17,1.4130115299874097e-09,7.2129882875537136e+25,electrolyte_concentration_molL,9.712740198471169e-06,0.9352132064968112,0.8658161894042972,0.8746237416060472,0.7496376738345779,0.9376645879899654
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,1.1568875283162833e-05,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,8.981018592993547e-08,2.8882049774189714e-09,1.989763682079657e-05,685140783.4857559,-48151129.4329196,686830710.1907582,3.627052450246821e-05,-4.594203582860307e-06,3.6560328967952585e-05,4.717364244611413e+17,1.336657654244913e-09,7.292527068353053e+25,electrolyte_concentration_molL,1.1568875283162833e-05,0.9240557476241386,0.8420985977865433,0.8538790247172056,0.7091300483940625,0.9269536754945722
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,1.3779723598335567e-05,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,8.229072942850214e-08,2.8531743675011107e-09,2.3011754772588543e-05,676655701.9755583,-44078960.3225862,678089886.1944157,3.531563517170176e-05,-3.082714467688969e-06,3.5449925473405965e-05,4.5980589375915565e+17,1.256697216070037e-09,7.377972923309418e+25,electrolyte_concentration_molL,1.3779723598335567e-05,0.9122959230662819,0.8165225361883385,0.8322838512433596,0.6667090521034366,0.9157107918100508
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,1.64130719537513e-05,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,7.54008476851152e-08,2.816632540219199e-09,2.6688362506075697e-05,667711881.3486714,-40310637.18056286,668927577.517989,3.421999642208722e-05,-1.5120008759556547e-06,3.42533838003861e-05,4.4746410396408525e+17,1.1732943017765527e-09,7.468738834237577e+25,electrolyte_concentration_molL,1.64130719537513e-05,0.8999690368797177,0.7889624432272925,0.8099442673422068,0.6224617368231788,0.9039828911336499
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,1.9549661430912596e-05,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,6.908782886137352e-08,2.77871431619426e-09,3.10338364149024e-05,658336655.431493,-36825230.8984084,659365793.4071538,3.296530290474559e-05,9.066246771583363e-08,3.296542757624539e-05,4.347632495154455e+17,1.0867194152846801e-09,7.563393297863676e+25,electrolyte_concentration_molL,1.9549661430912596e-05,0.8871047001020211,0.759296787556906,0.7869547489430969,0.5765316115942373,0.8918132434102554
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,2.3285662984981965e-05,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,6.330337447546612e-08,2.7395436536574392e-09,3.617487086441343e-05,648553401.5691509,-33601049.10768547,649423240.4126399,3.1511443553692694e-05,1.7586757224190818e-06,3.15604818583967e-05,4.2175054518805344e+17,9.96064015134187e-10,7.664426208450915e+25,electrolyte_concentration_molL,2.3285662984981965e-05,0.873728080355233,0.7269364983482488,0.7634007584012406,0.5284366726308135,0.8792416323598128
0.24,3.9e-13,395.1674866729765,2.3,9.999999999999999e-11,2.773562614198418e-05,7.0,0.001,2220000000.0,1000000.0,45.0,5.468089245796927e-06,5.800322988904281e-08,2.6992342972483532e-09,4.2262363772495135e-05,638379657.3354808,-30617408.35496825,639113458.3109174,2.9836227362075954e-05,3.4255780484995443e-06,3.0032233486170353e-05,4.0846601259414074e+17,9.019350481678519e-10,7.769507348933853e+25,electrolyte_concentration_molL,2.773562614198418e-05,0.8598573939306217,0.6917361637875435,0.7393547378971602,0.4784989202915074,0.8663045637056296
