position,medium,z_m,r_m,time_ms,model_mv,raw_model_mv
1,fluid,-0.023,0.0,0.09205146036161337,0.0,0.0012026499284815949
1,fluid,-0.023,0.0,0.09217663421418637,0.0,0.0005685207683245418
1,fluid,-0.023,0.0,0.09230180806675939,0.0,-4.623012418860687e-05
1,fluid,-0.023,0.0,0.09242698191933241,0.0,-0.000500951371321077
1,fluid,-0.023,0.0,0.09255215577190541,0.0,-0.000710941776982698
1,fluid,-0.023,0.0,0.09267732962447844,0.0,-0.0006821154429685599
1,fluid,-0.023,0.0,0.09280250347705146,0.0,-0.0005091697854961736
1,fluid,-0.023,0.0,0.0929276773296245,0.0,-0.000336709297950904
1,fluid,-0.023,0.0,0.0930528511821975,0.0,-0.000299055318447839
1,fluid,-0.023,0.0,0.09317802503477052,0.0,-0.00046437107587627937
1,fluid,-0.023,0.0,0.09330319888734354,0.0,-0.0008075333315671915
1,fluid,-0.023,0.0,0.09342837273991654,0.0,-0.0012239921996689389
1,fluid,-0.023,0.0,0.09355354659248957,0.0,-0.001578770338190992
1,fluid,-0.023,0.0,0.09367872044506258,0.0,-0.0017687402493372188
1,fluid,-0.023,0.0,0.09380389429763561,0.0,-0.0017697453875401947
1,fluid,-0.023,0.0,0.09392906815020863,0.0,-0.0016463628670796424
1,fluid,-0.023,0.0,0.09405424200278165,0.0,-0.0015188029878539244
1,fluid,-0.023,0.0,0.09417941585535466,0.0,-0.0015013703214073859
1,fluid,-0.023,0.0,0.09430458970792767,0.0,-0.0016410250408464898
1,fluid,-0.023,0.0,0.0944297635605007,0.0,-0.0018860689114331215
1,fluid,-0.023,0.0,0.0945549374130737,0.0,-0.0021024840442038367
1,fluid,-0.023,0.0,0.09468011126564674,0.0,-0.0021339728618170366
1,fluid,-0.023,0.0,0.09480528511821974,0.0,-0.0018806822627516972
1,fluid,-0.023,0.0,0.09493045897079277,0.0,-0.0013606871629297918
1,fluid,-0.023,0.0,0.0950556328233658,0.0,-0.0007232295849363752
1,fluid,-0.023,0.0,0.0951808066759388,0.0,-0.00020225594864987982
1,fluid,-0.023,0.0,0.09530598052851183,0.0,-2.5050336942847578e-05
1,fluid,-0.023,0.0,0.09543115438108483,0.0,-0.00031229491923242354
1,fluid,-0.023,0.0,0.09555632823365787,0.0,-0.0010127080286193332
1,fluid,-0.023,0.0,0.09568150208623087,0.0,-0.0019035274894319758
1,fluid,-0.023,0.0,0.09580667593880389,0.0,-0.0026616524866473674
1,fluid,-0.023,0.0,0.09593184979137692,0.0,-0.0029800762160200256
1,fluid,-0.023,0.0,0.09605702364394993,0.0,-0.0026834211928240775
1,fluid,-0.023,0.0,0.09618219749652296,0.0,-0.0017945652584032581
1,fluid,-0.023,0.0,0.09630737134909596,0.0,-0.0005232595051185301
1,fluid,-0.023,0.0,0.096432545201669,0.0,0.0008200248873864183
