Time_s,Time_min,Porosity_raw,Porosity_used,valid_poroelastic,Permeability_mD,k0_m2,Tortuosity,OutletHConc_raw,ElectrolyteConcentration_input_molL,FluidConductivity_input_S_m,cH_molL,pH,C_molL,zeta,omega0_rad_s,theta_deg,omega_t,Lambda_m,L_abs,sigma_abs,RE_real,RE_imag,RE_abs,TTM_real,TTM_imag,TTM_abs,matrix_cond,RE_abs_norm,TTM_abs_norm,L_abs_norm,sigma_abs_norm,Amax_waveform_spectral,Amax_waveform_spectral_RE,Amax_waveform_spectral_TE,Amax_waveform_spectral_norm,Amax_waveform_spectral_RE_norm,Amax_waveform_spectral_TE_norm
76.4,1.2733333333333334,0.85665,0.85665,True,777223.779017544,7.670602568264653e-10,1.0526384559315045,4.349610693746087e-05,,,0.04349610693746087,1.3615496122692647,0.04449610693746087,0.00303799589175727,3141592.653589793,45.0,1060.9494834501788,8.683556625161202e-05,2.2715348470737245e-11,0.4577331088928607,-494928.3932821364,-457231.31000971503,673806.044296159,3.1667639890241494e-12,-1.1470265401891098e-11,1.1899385805662411e-11,5.586489225310982e+26,0.00045540916454102435,2.850455949846539e-05,0.01804082226478181,80.77408555073171,3575775515554.338,3575775515554.338,392109750491.7828,0.000344438884561112,0.000348538810232508,3.7770224807859095e-05
81.4,1.3566666666666667,0.8655,0.8655,True,955064.6148420768,9.425755213931715e-10,1.0474070827143833,4.72454896714896e-05,,,0.0472454896714896,1.3256396454463666,0.0482454896714896,0.0030904022608155696,3141592.653589793,45.0,876.6685139424214,9.552725295112064e-05,2.1329279532928994e-11,0.5039348129871104,-403787.6303802037,-377548.1393102373,552799.2835963903,1.9808385263702748e-11,-5.736725214688007e-12,2.0622369964291528e-11,2.2614399895196178e+26,0.00037362362957797527,4.940016075172463e-05,0.016939988465734128,88.92709071158852,3057733865169.8057,3057733865169.8057,318677304444.49744,0.0002945381882118939,0.0002980441358071984,3.0696797044539356e-05
86.4,1.4400000000000002,0.8738,0.8738,True,1077370.101752903,1.063281656143311e-09,1.044805995838041,4.73886959562205e-05,,,0.0473886959562205,1.32432524206679,0.0483886959562205,0.0030920771572023114,3141592.653589793,45.0,786.5531283306767,0.00010085117492455596,2.0458969322851423e-11,0.5115479616895047,-369562.1215026976,-347685.5876999333,507406.5722316007,4.826122574405268e-12,-7.063560425602897e-12,8.55484336439467e-12,4.727547977232788e+26,0.00034294379680727875,2.0492825904039593e-05,0.01624877688976112,90.27054853155053,2873093913413.964,2873093913413.964,296899951898.20087,0.0002767526256810367,0.00028004686813017755,2.8599079504075234e-05
91.4,1.5233333333333334,0.8818,0.8818,True,1248689.660250478,1.2323609201702805e-09,1.0444529285751092,5.031032685719895e-05,,,0.05031032685719895,1.2983428611314818,0.051310326857198954,0.0031216558369816538,3141592.653589793,45.0,685.0831796396845,0.0001080620845942832,1.9460443305665028e-11,0.5475856128793931,-320332.94898314093,-303087.4022900693,440993.39182257355,8.731318699550348e-13,-6.452549271674342e-12,6.511355570518036e-12,4.905901123575161e+26,0.0002980567387872209,1.5597722883073066e-05,0.015455734668725999,96.62994937825839,2534455474003.9014,2534455474003.9014,252489340399.01807,0.00024413305942679568,0.00024703902458475324,2.4321198686077624e-05
96.4,1.6066666666666667,0.8879,0.8879,True,1437822.0800504447,1.4190201120562492e-09,1.0431080104910913,5.419546813029773e-05,,,0.05419546813029773,1.2660370280057447,0.05519546813029773,0.003149055576595531,3141592.653589793,45.0,599.854919044486,0.0001154840167916279,1.852163578750027e-11,0.593887510340775,-275857.2373969542,-262236.50266846654,380611.6114309549,-1.6545973278068575e-11,-8.070420190799396e-12,1.840926163034851e-11,1.3517712641088334e+26,0.00025724615776850826,4.4098737702527466e-05,0.01471012164861891,104.80063520815817,2218807333155.225,2218807333155.225,211630297389.17758,0.0002137280485208322,0.00021627209668759038,2.038542499521655e-05
101.4,1.6900000000000002,0.894,0.894,True,1995091.3456711262,1.9690021346711885e-09,1.0374845390122398,5.764769537202569e-05,,,0.057647695372025694,1.239218050159715,0.058647695372025695,0.0031638983175568966,3141592.653589793,45.0,437.632632792597,0.00013520418801356247,1.6091462043455278e-11,0.638811580097654,-217599.8390950014,-208122.14226695057,301105.48994655564,-5.23790729522331e-13,-3.896328474220306e-12,3.931377914593491e-12,4.492922299386623e+26,0.00020350989839890103,9.417477297370872e-06,0.012780046367346674,112.72818203256439,1806489345482.5762,1806489345482.5762,165697459698.3857,0.0001740112522228876,0.0001760825433345443,1.596091475677383e-05
106.4,1.7733333333333334,0.8993,0.8993,True,2105709.318889876,2.0781735898395486e-09,1.0342232102546298,5.982854582049134e-05,,,0.05982854582049134,1.2230915528960666,0.06082854582049134,0.0031693691312815004,3141592.653589793,45.0,418.4162009968475,0.0001382740704196933,1.5905306892600916e-11,0.6685958583914047,-202254.63067423826,-193958.00499261226,280226.05754976947,1.2297310136718338e-12,-3.6156568863352548e-12,3.819059188555463e-12,4.0305859466088475e+26,0.0001893979963992036,9.148421745981042e-06,0.012632199549387284,117.98407852819965,1708788136259.1497,1708788136259.1497,152895042686.28552,0.00016460012018207438,0.00016655938868658497,1.4727713674616304e-05
111.4,1.8566666666666667,0.90365,0.90365,True,2192635.23874088,2.1639628055144373e-09,1.032696685198744,6.224871386868291e-05,,,0.06224871386868291,1.2058696171720529,0.0632487138686829,0.003172345601561182,3141592.653589793,45.0,404.36883623135753,0.00014065531718654247,1.5750142768198543e-11,0.6995924187682038,-189273.0805129487,-181864.634372245,262486.27438822686,-5.258134830294398e-12,-4.337067367808817e-12,6.816020484598561e-12,1.999905382986388e+26,0.0001774081071764436,1.6327536951826987e-05,0.012508966203712668,123.45390094438851,1615229412558.1848,1615229412558.1848,140987021175.94568,0.0001555880157330271,0.00015744001133648,1.3580665816463685e-05
116.4,1.9400000000000002,0.90835,0.90835,True,2319478.846980258,2.2891477179419513e-09,1.0293570449975524,6.285878917448187e-05,,,0.06285878917448187,1.2016339888912309,0.06385878917448187,0.00317262397857564,3141592.653589793,45.0,385.4902169007527,0.00014405830915823086,1.5509697136269944e-11,0.712317768948261,-180610.4507922535,-173867.6836230795,250699.23482898046,-4.445922502180306e-12,-4.00134750014425e-12,5.9813885271150735e-12,2.102995617859438e+26,0.00016944153299158955,1.4328205500611442e-05,0.01231800118657656,125.69948577130467,1565775419338.645,1565775419338.645,135283287925.88998,0.00015082432791550747,0.00015261962037988694,1.303125002961199e-05
121.4,2.0233333333333334,0.9123,0.9123,True,2464799.6857474064,2.4325682396967937e-09,1.0265256747238023,6.374426975019467e-05,,,0.06374426975019466,1.195558849760255,0.06474426975019466,0.003172710519537926,3141592.653589793,45.0,365.34471270732985,0.0001479767825334377,1.5207054008917634e-11,0.7273360389074333,-171542.37638360125,-165409.0553577945,238300.1101336108,5.1706501876663595e-12,-2.834776795654584e-12,5.896743410086268e-12,1.960857701424603e+26,0.00016106126530720472,1.4125441104700015e-05,0.012077638117647444,128.349691751467,1507800432513.7073,1507800432513.7073,128762817558.2958,0.0001452398498889748,0.0001469686691824999,1.2403161512741058e-05
