panel,z_cm,r_cm,dipole_vpp_mv
r,-1.3,-1.187150837988827,0.10068021369119541
r,-1.3,-1.1592178770949721,0.10396037055809294
r,-1.3,-1.1312849162011174,0.10733793288569797
r,-1.3,-1.1033519553072626,0.11081315325089448
r,-1.3,-1.0754189944134078,0.11438590593794457
r,-1.3,-1.047486033519553,0.11805564094238725
r,-1.3,-1.0195530726256985,0.12182133545450106
r,-1.3,-0.9916201117318437,0.1256814430729494
r,-1.3,-0.963687150837989,0.1296338410911883
r,-1.3,-0.9357541899441342,0.1336757763031029
r,-1.3,-0.9078212290502794,0.13780380988986082
r,-1.3,-0.8798882681564246,0.14201376207634145
r,-1.3,-0.8519553072625698,0.14630065738127393
r,-1.3,-0.8240223463687153,0.1506586714282021
r,-1.3,-0.7960893854748605,0.15508108043153215
r,-1.3,-0.7681564245810057,0.15956021461916492
r,-1.3,-0.740223463687151,0.16408741699550014
r,-1.3,-0.7122905027932962,0.16865300897975155
r,-1.3,-0.6843575418994414,0.17324626456732234
r,-1.3,-0.6564245810055866,0.17785539474826612
r,-1.3,-0.6284916201117319,0.1824675439676325
r,-1.3,-0.6005586592178771,0.1870688004182967
r,-1.3,-0.5726256983240225,0.19164422190812377
r,-1.3,-0.5446927374301678,0.19617787893085012
r,-1.3,-0.516759776536313,0.20065291638575578
r,-1.3,-0.488826815642458,0.2050516351286608
r,-1.3,-0.46089385474860345,0.2093555941921774
r,-1.3,-0.4329608938547489,0.21354573408597025
r,-1.3,-0.4050279329608939,0.21760252108159892
r,-1.3,-0.37709497206703935,0.2215061118096325
r,-1.3,-0.34916201117318435,0.22523653686258438
r,-1.3,-0.3212290502793298,0.22877390142453513
r,-1.3,-0.2932960893854748,0.23209860026092624
r,-1.3,-0.26536312849162025,0.23519154372813272
r,-1.3,-0.2374301675977657,0.2380343908336766
r,-1.3,-0.2094972067039107,0.24060978482771375
r,-1.3,-0.18156424581005615,0.24290158636804834
r,-1.3,-0.15363128491620115,0.2448950990054368
r,-1.3,-0.1256983240223466,0.24657728160979825
r,-1.3,-0.0977653631284916,0.24793694242079506
r,-1.3,-0.06983240223463705,0.24896490966892584
r,-1.3,-0.041899441340782495,0.2496541741763848
r,-1.3,-0.013966480446927498,0.25
r,-1.3,0.013966480446927054,0.25
r,-1.3,0.04189944134078205,0.2496541741763848
r,-1.3,0.0698324022346366,0.24896490966892587
r,-1.3,0.0977653631284916,0.24793694242079506
r,-1.3,0.12569832402234615,0.24657728160979825
r,-1.3,0.15363128491620115,0.2448950990054368
r,-1.3,0.1815642458100557,0.2429015863680484
r,-1.3,0.20949720670391025,0.2406097848277138
r,-1.3,0.23743016759776525,0.23803439083367667
r,-1.3,0.2653631284916198,0.23519154372813278
r,-1.3,0.2932960893854748,0.23209860026092624
r,-1.3,0.32122905027932935,0.22877390142453513
r,-1.3,0.34916201117318435,0.22523653686258438
r,-1.3,0.3770949720670389,0.22150611180963256
r,-1.3,0.4050279329608939,0.21760252108159892
r,-1.3,0.43296089385474845,0.21354573408597033
r,-1.3,0.460893854748603,0.20935559419217745
r,-1.3,0.488826815642458,0.2050516351286608
r,-1.3,0.5167597765363126,0.20065291638575586
r,-1.3,0.5446927374301676,0.19617787893085017
r,-1.3,0.5726256983240221,0.19164422190812389
r,-1.3,0.6005586592178771,0.1870688004182967
r,-1.3,0.6284916201117317,0.1824675439676325
r,-1.3,0.6564245810055862,0.17785539474826623
r,-1.3,0.6843575418994412,0.17324626456732234
r,-1.3,0.7122905027932958,0.1686530089797516
r,-1.3,0.7402234636871508,0.1640874169955002
r,-1.3,0.7681564245810053,0.159560214619165
r,-1.3,0.7960893854748603,0.1550810804315322
r,-1.3,0.8240223463687149,0.1506586714282022
r,-1.3,0.8519553072625694,0.146300657381274
r,-1.3,0.8798882681564244,0.14201376207634148
r,-1.3,0.907821229050279,0.1378038098898609
r,-1.3,0.935754189944134,0.13367577630310296
r,-1.3,0.9636871508379885,0.12963384109118836
r,-1.3,0.9916201117318435,0.1256814430729494
r,-1.3,1.019553072625698,0.12182133545450113
r,-1.3,1.047486033519553,0.11805564094238725
r,-1.3,1.0754189944134076,0.1143859059379446
r,-1.3,1.1033519553072622,0.11081315325089455
r,-1.3,1.1312849162011172,0.10733793288569801
r,-1.3,1.1592178770949717,0.10396037055809301
r,-1.3,1.1871508379888267,0.10068021369119544
r,-1.3,1.2150837988826813,0.09749687472071766
r,-1.3,1.2430167597765363,0.09440947160768158
r,-1.3,1.2709497206703908,0.09141686551514829
r,-1.3,1.2988826815642458,0.0885176956537627
r,-1.3,1.3268156424581004,0.08571041134023413
r,-1.3,1.354748603351955,0.08299330134417628
r,-1.3,1.38268156424581,0.08036452062296955
r,-1.3,1.4106145251396645,0.07782211456239624
r,-1.3,1.4385474860335195,0.07536404085360617
r,-1.3,1.466480446927374,0.07298818914530951
r,-1.3,1.494413407821229,0.07069239861469427
r,-1.3,1.522346368715084,0.06847447360210226
r,-1.3,1.550279329608938,0.0663321974535448
r,-1.3,1.578212290502793,0.06426334471222894
r,-1.3,1.606145251396648,0.0622656917958291
r,-1.3,1.6340782122905022,0.06033702629066765
r,-1.3,1.6620111731843572,0.05847515498758371
r,-1.3,1.6899441340782122,0.05667791077733945
r,-1.3,1.7178770949720672,0.05494315851616118
r,-1.3,1.7458100558659213,0.053268799964621805
r,-1.3,1.7737430167597763,0.05165277789568407
r,-1.3,1.8016759776536313,0.05009307946045726
r,-1.3,1.8296089385474854,0.048587738893156436
r,-1.3,1.8575418994413404,0.047134839629966056
r,-1.3,1.8854748603351954,0.045732515910037796
r,-1.3,1.9134078212290504,0.04437895392073042
r,-1.3,1.9413407821229045,0.04307239254344791
r,-1.3,1.9692737430167595,0.041811123751055855
r,-1.3,1.9972067039106145,0.04059349270285943
r,-1.3,2.0251396648044686,0.03941789757850035
r,-1.3,2.0530726256983236,0.03828278918786828
r,-1.3,2.0810055865921786,0.03718667039020828
r,-1.3,2.1089385474860336,0.03612809535202262
r,-1.3,2.1368715083798877,0.03510566867009911
r,-1.3,2.1648044692737427,0.034118044383024855
r,-1.3,2.1927374301675977,0.033163924891849064
r,-1.3,2.220670391061452,0.03224205980811828
r,-1.3,2.248603351955307,0.03135124474530641
r,-1.3,2.276536312849162,0.030490320067679523
r,-1.3,2.304469273743017,0.029658169608853372
r,-1.3,2.332402234636871,0.028853719370705775
r,-1.3,2.360335195530726,0.028075936211877095
r,-1.3,2.388268156424581,0.027323826533817465
r,-1.3,2.416201117318435,0.02659643497120297
r,-1.3,2.44413407821229,0.025892843092534205
r,-1.3,2.472067039106145,0.025212168115834984
r,-1.3,2.5,0.024553561643576274
