TimeStep,Time_s,Porosity,Permeability_mD,k_k0,DissolutionRate,SurfaceArea_cm2,GrainVolume_cm3,InjectedPV,OutletHConc,Tortuosity,PoreVolumeToSurface_m,C_molL,pH,Lambda_m,L_abs,RE_abs,TTM_abs,valid_poroelastic
34,9819.2,0.885,166807.420403288,8.85980606488511,1.59195201566047e-08,0.227094260582971,0.000268232424061025,300.225731609697,1.21191847709783e-09,1.04566830117873,9.08972085881937e-05,0.0010012119184770979,5.916526593154335,3.944752079734214e-05,8.624417672607731e-10,669181601.0470461,4.186822103594167e-07,True
35,10269.2,0.8994,206839.505477594,10.9860694485753,1.76049037651514e-08,0.198758212354627,0.000234267009344327,313.984650790931,3.88193531312219e-09,1.03987766650634,0.00010537581677007578,0.0010038819353131222,5.410951705781286,4.3452835740696134e-05,6.965305400862641e-10,509462712.32459563,2.703342679657555e-07,True
36,10719.2,0.91685,262952.24999717,13.9664406635365,2.00877611568205e-08,0.17556785463558,0.000192685763015607,327.743569972164,2.32172961229036e-08,1.03200592566476,0.00012101540555868559,0.0010232172961229036,4.634188359415623,4.8341162615846065e-05,4.951308810510452e-10,335864892.0810436,1.4364157200665545e-07,True
37,11169.2,0.9327,371249.444723699,19.7185357461677,2.25894270582425e-08,0.152223444817721,0.000153970168653989,341.502489153397,5.466280176774e-08,1.02202862406181,0.00014017867551712897,0.00105466280176774,4.262308112103934,5.667351408713396e-05,3.7075935785475414e-10,232834799.59634528,9.072642721977109e-08,True
38,11619.2,0.951,672778.377251706,35.7339375711653,2.55762432039457e-08,0.128565703830013,0.000111613728427622,355.26140833463,2.64597420429013e-07,1.01659832715406,0.00016849108272583752,0.001264597420429013,3.5774143940824037,7.539379421074729e-05,1.9309661802116273e-10,101637096.04235263,2.9749749198865973e-08,False
39,12069.2,0.9641,1232602.58463909,65.4684295733119,2.91388801862633e-08,0.102085145723994,7.98022451895084e-05,369.020327515863,8.26752833683047e-07,1.01291593983559,0.0002099327483284617,0.0018267528336830471,3.0826243078738282,0.00010186456425514593,9.231728899828104e-11,36526881.52416782,5.256223968904565e-09,False
40,12519.2,0.9774,2053874.74023785,109.089462783365,3.42880428952934e-08,0.0711737978926004,5.08277539724013e-05,382.779246697096,2.33935621313291e-06,1.01058930624514,0.00030884791504877265,0.00333935621313291,2.630903643253166,0.00013134066716082021,3.7221802383832653e-11,8832423.733045934,5.333712417397287e-10,False
41,12969.2,0.9874,3553206.49832368,188.724940458445,3.94524209687092e-08,0.0394813575790552,2.7241314163008e-05,396.538165878329,5.82276466996916e-06,1.00627443603553,0.0005407027208014962,0.00682276466996916,2.23487076177229,0.00017238256385277705,9.036373215639081e-12,1107497.0029171894,9.087323790104316e-11,False
42,13419.2,0.99495,4462221.74961077,237.006358736811,4.6207771674506e-08,0.0173671081947308,1.06693235208499e-05,410.297085059562,1.84668446707213e-05,1.00507431887189,0.0012103730706176442,0.0194668446707213,1.7336073037562454,0.00019306322407523319,6.8127912586532204e-12,303653.0020310319,1.4040120105286623e-11,False
43,13869.2,0.9987,4650952.6461532,247.030607884572,7.56213307976847e-08,0.00934693336047617,2.13957500705322e-06,424.056004240795,3.94609765745291e-05,1.00377814955372,0.0017585311568025647,0.0404609765745291,1.4038321710939374,0.00019697663755987986,1.134514983865573e-11,245430.97558587242,4.917007660831124e-12,False
44,14319.2,1.0,4667231.38137131,247.895236308567,5.65571798747525e-09,0.0,-1.35742111995185e-16,437.814923422028,5.73310510253036e-05,1.00370574582253,,0.0583310510253036,1.2416100964198882,0.00019731393742623168,1.2107251502168547e-11,182227.91836500022,3.771189913585812e-12,False
