scan,scan_value,Porosity_used,k0_m2,Permeability_mD,Tortuosity,C_molL,pH,eta_Pa_s,K_f_Pa,Lambda_m,debye_d_m,L_abs,R_E_abs,T_TM_abs,RE_EE,TE_TM_TM,minus_TE_TM_TM,RE_Pr_Pr,matrix_cond
electrolyte_concentration_molL,0.0003511191734215131,0.24,3.9e-13,395.1674866729765,2.3,0.0003511191734215131,7.0,0.001,2220000000.0,5.468089245796927e-06,1.6302112745059463e-08,2.034972803852663e-09,444802261.6063373,3.7110450478960263e-06,9.892452596505628e-07,-7.999516669984775e-06,7.999516669984775e-06,-0.05698265979695064,9.51382663784357e+25
electrolyte_concentration_molL,0.0004037017258596554,0.24,3.9e-13,395.1674866729765,2.3,0.0004037017258596554,7.0,0.001,2220000000.0,5.468089245796927e-06,1.5203404907310052e-08,1.995937106559677e-09,430911699.68611985,3.0929352105838324e-06,9.284244646319043e-07,-6.627086471832395e-06,6.627086471832395e-06,-0.05698259073672482,9.581100161175008e+25
electrolyte_concentration_molL,0.0004641588833612782,0.24,3.9e-13,395.1674866729765,2.3,0.0004641588833612782,7.0,0.001,2220000000.0,5.468089245796927e-06,1.4178746300578116e-08,1.956758953002333e-09,416571710.7518488,2.56749437471886e-06,8.676599509936105e-07,-5.45249653755597e-06,5.45249653755597e-06,-0.056982509497832554,9.637098334759035e+25
electrolyte_concentration_molL,0.0005336699231206312,0.24,3.9e-13,395.1674866729765,2.3,0.0005336699231206312,7.0,0.001,2220000000.0,5.468089245796927e-06,1.3223146254527224e-08,1.917449579698706e-09,401772110.73280424,2.1230767719515083e-06,8.071041448134638e-07,-4.456506667453614e-06,4.456506667453614e-06,-0.05698242421749331,9.679884961000176e+25
electrolyte_concentration_molL,0.0006135907273413176,0.24,3.9e-13,395.1674866729765,2.3,0.0006135907273413176,7.0,0.001,2220000000.0,5.468089245796927e-06,1.2331950453298402e-08,1.8780193621992285e-09,386508700.91550535,1.7488930846212324e-06,7.469448794169582e-07,-3.618848257664248e-06,3.618848257664248e-06,-0.056982340314609296,9.707345000263323e+25
electrolyte_concentration_molL,0.0007054802310718645,0.24,3.9e-13,395.1674866729765,2.3,0.0007054802310718645,7.0,0.001,2220000000.0,5.468089245796927e-06,1.1500818266344132e-08,1.8384778790734238e-09,370784986.80759513,1.4353454990812966e-06,6.874075322095427e-07,-2.9196027772842636e-06,2.9196027772842636e-06,-0.05698226091118092,9.716022415605434e+25
electrolyte_concentration_molL,0.0008111308307896872,0.24,3.9e-13,395.1674866729765,2.3,0.0008111308307896872,7.0,0.001,2220000000.0,5.468089245796927e-06,1.0725701607088209e-08,1.7988339713464767e-09,354613953.9473707,1.1730782023315312e-06,6.287552816709402e-07,-2.3400183389407934e-06,2.3400183389407934e-06,-0.05698218868969681,9.708094149236573e+25
electrolyte_concentration_molL,0.0009326033468832199,0.24,3.9e-13,395.1674866729765,2.3,0.0009326033468832199,7.0,0.001,2220000000.0,5.468089245796927e-06,1.0002825216441193e-08,1.759095797681507e-09,338019919.22945607,9.552103641809333e-07,5.712873289794402e-07,-1.8629360715634314e-06,1.8629360715634314e-06,-0.05698212367479066,9.675581233872296e+25
electrolyte_concentration_molL,0.0010722672220103231,0.24,3.9e-13,395.1674866729765,2.3,0.0010722672220103231,7.0,0.001,2220000000.0,5.468089245796927e-06,9.328668275140925e-09,1.7192708855886808e-09,321040117.4763069,7.745341334826077e-07,5.153337851460049e-07,-1.472959589913996e-06,1.472959589913996e-06,-0.056982066689816493,9.620672976671326e+25
electrolyte_concentration_molL,0.0012328467394420659,0.24,3.9e-13,395.1674866729765,2.3,0.0012328467394420659,7.0,0.001,2220000000.0,5.468089245796927e-06,8.699947255359742e-09,1.6793661789274326e-09,303726112.395547,6.255136899377924e-07,4.612477567545623e-07,-1.1564660484304394e-06,1.1564660484304394e-06,-0.056982017245463805,9.538707177353092e+25
