z_m,z_mm,side,distance_from_interface_m,distance_from_interface_mm,peak_abs,peak_signed,peak_time_s,peak_time_us,liu_dipole_peak_distance_m,liu_dipole_peak_distance_mm
-0.041999999999999954,-41.99999999999996,R_E,0.041999999999999954,41.99999999999996,1285993990437.978,1285993990437.978,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.04099999999999995,-40.99999999999995,R_E,0.04099999999999995,40.99999999999995,1282858487708.2593,1282858487708.2593,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.03999999999999995,-39.99999999999995,R_E,0.03999999999999995,39.99999999999995,1279502846288.259,1279502846288.259,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.03899999999999995,-38.99999999999995,R_E,0.03899999999999995,38.99999999999995,1275912039187.7393,1275912039187.7393,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.03799999999999995,-37.99999999999995,R_E,0.03799999999999995,37.99999999999995,1272070007614.6907,1272070007614.6907,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.03699999999999995,-36.99999999999995,R_E,0.03699999999999995,36.99999999999995,1267959591642.541,1267959591642.541,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.03599999999999995,-35.99999999999995,R_E,0.03599999999999995,35.99999999999995,1263562456613.16,1263562456613.16,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.03499999999999995,-34.99999999999995,R_E,0.03499999999999995,34.99999999999995,1258859015086.028,1258859015086.028,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.03399999999999995,-33.99999999999995,R_E,0.03399999999999995,33.99999999999995,1253828344148.8733,1253828344148.8733,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.032999999999999946,-32.99999999999994,R_E,0.032999999999999946,32.99999999999994,1248448097912.9934,1248448097912.9934,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.031999999999999945,-31.999999999999947,R_E,0.031999999999999945,31.999999999999947,1242694415028.4,1242694415028.4,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.030999999999999944,-30.999999999999943,R_E,0.030999999999999944,30.999999999999943,1236541821070.1702,1236541821070.1702,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.029999999999999943,-29.999999999999943,R_E,0.029999999999999943,29.999999999999943,1229963125669.0334,1229963125669.0334,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.028999999999999942,-28.999999999999943,R_E,0.028999999999999942,28.999999999999943,1222929314287.3708,1222929314287.3708,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.02799999999999994,-27.999999999999943,R_E,0.02799999999999994,27.999999999999943,1215409434577.1177,1215409434577.1177,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.02699999999999994,-26.99999999999994,R_E,0.02699999999999994,26.99999999999994,1207370477300.4478,1207370477300.4478,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.02599999999999994,-25.99999999999994,R_E,0.02599999999999994,25.99999999999994,1198777251848.5928,1198777251848.5928,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.02499999999999994,-24.99999999999994,R_E,0.02499999999999994,24.99999999999994,1189592256460.5032,1189592256460.5032,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.023999999999999938,-23.99999999999994,R_E,0.023999999999999938,23.99999999999994,1179775543323.4932,1179775543323.4932,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.022999999999999937,-22.999999999999936,R_E,0.022999999999999937,22.999999999999936,1169284578834.4666,1169284578834.4666,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.021999999999999936,-21.999999999999936,R_E,0.021999999999999936,21.999999999999936,1158074099415.2441,1158074099415.2441,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.020999999999999935,-20.999999999999936,R_E,0.020999999999999935,20.999999999999936,1146095963412.2026,1146095963412.2026,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.019999999999999934,-19.999999999999936,R_E,0.019999999999999934,19.999999999999936,1133298999771.476,1133298999771.476,5.783156647553642e-05,57.83156647553642,0.0,0.0
-0.018999999999999934,-18.999999999999932,R_E,0.018999999999999934,18.999999999999932,1119628854370.6484,1119628854370.6484,5.783156647553642e-05,57.83156647553642,0.0,0.0
