case,Pe,Time_s,Time_norm,Porosity,RE_abs_f_low,RE_abs_f_high,RE_spectral_ratio_high_over_low,TTM_spectral_ratio_high_over_low,L_sigma_index,RE_abs,TTM_abs,RE_abs_norm,TTM_abs_norm,RE_spectral_ratio_high_over_low_norm,L_sigma_index_norm
Pe1,1.0,50.6,0.03746483044572783,0.57925,523966150.0009488,2080791685.2356791,3.9712330371569067,1.0691702455950003,1.6279186539704906e-07,1096342198.5220356,2.533310334233314e-07,0.7409911026050642,0.6067117577801188,1.0015436211130326,0.732672518637428
Pe1,1.0,75.6,0.05597512216792536,0.59535,447670388.7068463,1779542339.4078317,3.975117372735484,1.0690708661246904,1.3864974542338835e-07,936927266.33054,1.9586262763866314e-07,0.6332464161964495,0.4690785708023008,1.002523249224651,0.6240167955568718
Pe1,1.0,100.6,0.0744854138901229,0.6115,395460017.82828826,1573739697.957426,3.9795165807147557,1.0692057099512813,1.2211416192062127e-07,827885150.928278,1.6317756269546025e-07,0.5595474949734635,0.39079991328105607,1.003632727980585,0.5495955854886476
Pe1,1.0,125.6,0.09299570561232046,0.62895,344419789.98352075,1372686394.0748067,3.9855038357130548,1.067172682772549,1.0600259242820279e-07,721321839.918224,1.3447418505437377e-07,0.4875239375212059,0.3220571443138243,1.0051427116545264,0.477082722696511
Pe1,1.0,150.6,0.11150599733451799,0.6446,288231833.16467303,1150326682.940858,3.99097722937373,1.0672016747857795,8.855028837506871e-08,603839005.9306992,1.0227257604245283e-07,0.40812013931756136,0.24493633308528837,1.0065230996739145,0.3985356556459007
Pe1,1.0,175.6,0.13001628905671553,0.66145,212016104.7389158,849343709.5225706,4.0060339310944455,1.0697008608796967,6.446714327934496e-08,444650671.4660944,6.126738374884882e-08,0.3005286048169212,0.1467314982556326,1.010320394726179,0.2901453590487195
Pe1,1.0,200.6,0.1485265807789131,0.67885,157343848.28952485,633910737.668457,4.028824415823441,1.0716193940731742,4.707944815669144e-08,330539911.89726025,3.8440886815401855e-08,0.22340390993059892,0.0920634858478854,1.0160681472224011,0.21188907549460767
Pe1,1.0,225.6,0.16703687250111063,0.6958,108808941.24799743,442484913.1526519,4.0666227249113645,1.0765938577502019,3.1654985129976014e-08,229217751.73031116,2.1924503481144046e-08,0.1549227192205749,0.05250779529751903,1.0256008679168713,0.1424686523865478
Pe1,1.0,250.6,0.18554716422330816,0.7119,63924609.3135378,263940429.23602235,4.1289330051505795,1.0892190096548997,1.7721616095199834e-08,135276837.8734557,9.51021943454197e-09,0.09143033387559944,0.022776372369521947,1.0413154993976843,0.079759151767979
Pe1,1.0,275.6,0.20405745594550573,0.7285,34776000.075293206,145538892.99408844,4.185038321801918,1.07395578650832,9.367213964201497e-09,73861705.17450728,3.977987965530012e-09,0.04992133517375348,0.009527028877515302,1.0554652411723207,0.042158741968022224
Pe1,1.0,300.6,0.22256774766770326,0.7445,14898561.860116927,62981788.29136121,4.227373680943116,1.0469683588721046,4.0260259865120475e-09,31693571.149755064,1.2886757095391759e-09,0.021420916082048477,0.0030862965913715313,1.0661422043468998,0.01811981570727175
