Time_s,Time_norm,RE_abs,TTM_abs,RE_real,RE_imag,TTM_real,TTM_imag,case,Pe,RE_phase_rad,TTM_phase_rad
1350.6,1.0,109272.23609380095,3.3589801966837833e-12,-78102.59000926734,-76422.5556677063,2.471644643989083e-12,-2.2745814374416024e-12,Pe1,1.0,-2.3670663010061457,-0.7439020187768164
0.1,0.0002460629921259843,1479561890.1855907,4.174555234331209e-07,1478876230.5528464,45038667.779614106,-8.08144770065852e-08,4.095584626777636e-07,Pe10,10.0,0.030445246428854954,1.7656145832543584
0.2,0.0004921259842519686,309077264.7324606,1.718759015192283e-08,307877101.4516944,27211136.988421008,-6.773907630674184e-09,1.579643727685356e-08,Pe10,10.0,0.08815404966035821,1.9759023397623259
0.4,0.0009842519685039372,126514236.64586006,3.0076290763488834e-09,124843786.9123201,20490996.644279875,-2.281737570614175e-09,1.9594658251030965e-09,Pe10,10.0,0.16268256861069957,2.4320346715647587
0.8,0.0019685039370078744,46203343.32443218,5.035049429130825e-10,45039908.49237707,10303182.8749009,-3.887147499869564e-10,3.2002823419267945e-10,Pe10,10.0,0.22488727690227167,2.4528059316233537
1.6,0.003937007874015749,26255869.25979619,3.2160374494505633e-10,25435169.72427921,6513279.641211549,-2.7378306556417405e-10,-1.6873589355252189e-10,Pe10,10.0,0.2506869267053182,-2.5892650195837126
3.2,0.007874015748031498,18432701.227060918,1.1300173719347956e-10,17758970.044454675,4937960.863175662,-1.1276916205563582e-10,-7.246288568223809e-12,Pe10,10.0,0.2712036965356135,-3.0774231622704495
6.4,0.015748031496062995,8700192.927677164,1.3576123417911772e-10,8304869.743303198,2592777.56962891,-6.393232210561842e-11,-1.1976548290730805e-10,Pe10,10.0,0.30261123214424945,-2.061126699132928
11.4,0.028051181102362207,63000.30105444391,6.442871432309198e-11,-59100.4065399216,-21821.546227675037,-1.1156012468386452e-11,-6.345551682187927e-11,Pe10,10.0,-2.787891627014529,-1.7448262574961195
16.4,0.040354330708661415,2298885.430370477,5.434548285680622e-11,2144549.096020943,828120.3998969052,-1.4287122856340276e-11,-5.2433859551126485e-11,Pe10,10.0,0.3685111242739893,-1.8368172277650365
