Time_s,Porosity,frequency_Hz,k_dyn_abs,L_abs,sigma_abs,omega_t,sigma_f,C_molL,pH,case,Pe,Time_norm
3519.2,0.6743,681843.8742765816,1.2987736494682488e-13,1.163105988465961e-09,0.0072727470789776425,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,705622.0997842689,1.2556718898894879e-13,1.1430609751290762e-09,0.007272744244705366,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,730229.5532569289,1.2139898649341466e-13,1.1233566822771319e-09,0.007272741361777134,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,755695.1527068665,1.1736813296317078e-13,1.1039873210379062e-09,0.007272738429369157,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,782048.8246162824,1.1347015203421519e-13,1.084947200916341e-09,0.007272735446644267,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,809321.5391060582,1.0970071084822251e-13,1.0662307281259093e-09,0.007272732412751747,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,837545.3463310039,1.0605561556438846e-13,1.04783240394808e-09,0.007272729326827123,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,866753.4141443319,1.0253080700652907e-13,1.0297468231194428e-09,0.007272726187991986,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,896980.0670756182,9.912235644157612e-14,1.0119686722460303e-09,0.007272722995353795,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,928260.8266680614,9.582646148571167e-14,9.944927282444067e-10,0.007272719748005687,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,960632.4532224302,9.263944213448616e-14,9.773138568090789e-10,0.007272716445026283,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,994132.9889967828,8.9557736913357e-14,9.60427010905792e-10,0.007272713085479491,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,1028801.802912691,8.657789914518653e-14,9.438272292903017e-10,0.007272709668414311,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,1064679.636820531,8.369659333132378e-14,9.275096350521828e-10,0.007272706192864651,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,1101808.6533782035,8.091059164298888e-14,9.114694341832829e-10,0.007272702657849111,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,1140232.485599538,7.821677051976585e-14,8.957019141703899e-10,0.0072726990623708035,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,1179996.2881306417,7.561210737209289e-14,8.802024426117308e-10,0.007272695405417153,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,1221146.7903144055,7.309367738472886e-14,8.649664658568978e-10,0.0072726916859596905,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,1263732.351105564,7.065865041824908e-14,8.49989507669814e-10,0.007272687902953875,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,1307803.015900829,6.830428800570899e-14,8.352671679143547e-10,0.007272684055338878,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,1353410.5753508818,6.60279404416887e-14,8.207951212622472e-10,0.007272680142037402,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,1400608.6262233458,6.38270439610085e-14,8.065691159228733e-10,0.007272676161955477,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,1449452.6343882435,6.16991180044797e-14,7.925849723946215e-10,0.007272672113982275,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
3519.2,0.6743,1500000.0000000005,5.964176256912505e-14,7.788385822374033e-10,0.007272667996989908,17061.420140206086,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.24576791999553046
7569.2,0.8078,100000.0,1.1171788215865019e-12,3.382766410805926e-09,0.009515466169486503,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,103487.34166350256,1.080737871327675e-12,3.3249722498755637e-09,0.00951546496746404,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,107096.29884578515,1.0454677472860878e-12,3.2681599259458558e-09,0.009515463744684467,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,110831.11269550344,1.0113316298852174e-12,3.2123127858310733e-09,0.009515462500790127,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,114696.17226465745,9.78293824129537e-13,3.1574144566223608e-09,0.009515461235417232,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,118696.01966648553,9.463197264631238e-13,3.1034488411550534e-09,0.00951545994819578,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,122835.35541323408,9.153757925748743e-13,3.050400113533895e-09,0.00951545863874943,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,127119.04394007126,8.854295061230556e-13,2.998252714716812e-09,0.009515457306695408,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,131552.1193216395,8.564493483527051e-13,2.946991348157653e-09,0.009515455951644405,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,136139.79118796365,8.284047685802976e-13,2.8966009755082127e-09,0.009515454573200445,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,140887.4508466672,8.012661555208812e-13,2.8470668123797802e-09,0.009515453170960806,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,145800.67761868972,7.750048094336875e-13,2.7983743241643005e-09,0.009515451744515875,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
7569.2,0.8078,150885.24539495536,7.495929150629486e-13,2.750509221915146e-09,0.00951545029344906,12143.400569074789,0.012641805810344872,0.0010001,7.0,Pe0p1,0.1,0.5286049499972065
